_id,Ward No.,Ward Name,Area (sq km),Road length (kms),Ward Area (in sq.km),Total Population,Male Population,Female Population,SC Population,ST Population,Assembly constituency,Parliamentary constituency
186,186,Jaraganahalli,1.3,37,1.4643,44046,23068,20978,1658,775,175-BOMMANAHALLI,BANGALORE SOUTH
187,187,Puttenahalli,2.9,65,2.376,42285,21788,20497,1323,384,176-BANGALORE SOUTH,BANGALORE RURAL
188,188,Bilekhalli,4.3,72,2.8935,46914,24372,22542,1985,663,175-BOMMANAHALLI,BANGALORE SOUTH
189,189,Honga Sandra,2.1,61,0.8524,47128,25288,21840,3032,1007,175-BOMMANAHALLI,BANGALORE SOUTH
190,190,Mangammana Palya,3.5,83,2.6732,47840,25472,22368,4029,962,175-BOMMANAHALLI,BANGALORE SOUTH
191,191,Singa Sandra,9.7,179,7.7499,46757,27182,19575,6760,1289,176-BANGALORE SOUTH,BANGALORE RURAL
192,192,Begur,19.0,280,8.431,43747,23141,20606,3454,609,176-BANGALORE SOUTH,BANGALORE RURAL
193,193,Arakere,6.6,155,2.8493,48036,25066,22970,3485,649,175-BOMMANAHALLI,BANGALORE SOUTH
194,194,Gottigere,7.4,176,5.3577,45834,24008,21826,4271,888,175-BOMMANAHALLI,BANGALORE SOUTH
195,195,Konankunte,3.4,94,10.1573,46564,24066,22498,4052,894,176-BANGALORE SOUTH,BANGALORE RURAL
196,196,Anjanapura,11.4,234,9.6877,46165,24035,22130,7263,691,176-BANGALORE SOUTH,BANGALORE RURAL
197,197,Vasanthpura,5.7,143,9.5241,46045,23586,22459,3852,483,176-BANGALORE SOUTH,BANGALORE RURAL
198,198,Hemmigepura,30.5,453,26.1586,35396,18460,16936,4156,603,153-YESHVANTHAPURA,BANGALORE NORTH
